seed,model,roc_auc,pr_auc,brier,ece,accuracy,balanced_accuracy,precision,recall,specificity,f1
11,Logistic regression — raw sensors,0.9296472212073236,0.4506701207177373,0.12701383486294737,0.24735231468381308,0.8146666666666667,0.8473186375999675,0.14195583596214512,0.8823529411764706,0.8122843340234644,0.24456521739130435
11,XGBoost — raw sensors,0.9868875086266391,0.8075317904661808,0.026686037284322964,0.045124774071814804,0.9613333333333334,0.9232330613404782,0.4639175257731959,0.8823529411764706,0.9641131815044859,0.6081081081081081
11,XGBoost — knowledge features,0.9893367975209407,0.8977272146224374,0.013757431348849115,0.024268150849587982,0.982,0.933930093776641,0.6818181818181818,0.8823529411764706,0.9855072463768116,0.7692307692307693
11,XGBoost — knowledge + Platt calibration,0.9893367975209407,0.8977272146224374,0.007900134164786809,0.005723146758724288,0.992,0.9296472212073235,0.8979591836734694,0.8627450980392157,0.9965493443754313,0.88
23,Logistic regression — raw sensors,0.8866425797372088,0.42736492664040004,0.12159308199538114,0.23614732214310594,0.8273333333333334,0.7876628912434539,0.13380281690140844,0.7450980392156863,0.8302277432712215,0.22686567164179106
23,XGBoost — raw sensors,0.9754123871770931,0.6989592177248324,0.02717992853515318,0.04056620032990274,0.964,0.9056956115779645,0.48314606741573035,0.8431372549019608,0.9682539682539683,0.6142857142857143
23,XGBoost — knowledge features,0.9845058796465447,0.8464361341011724,0.016758272716688456,0.025657848677403918,0.9773333333333334,0.9125969228271018,0.6231884057971014,0.8431372549019608,0.9820565907522429,0.7166666666666667
23,XGBoost — knowledge + Platt calibration,0.9845058796465447,0.8464361341011724,0.010399413619246132,0.005865996113722813,0.988,0.8992002598140706,0.8367346938775511,0.803921568627451,0.9944789510006902,0.82
42,Logistic regression — raw sensors,0.9228812297866006,0.40112264336483033,0.13099252175498902,0.24661064039267253,0.8126666666666666,0.8462834409125969,0.140625,0.8823529411764706,0.8102139406487232,0.24258760107816713
42,XGBoost — raw sensors,0.9813258636788048,0.8160049146971996,0.024127715708842003,0.04224685831806467,0.968,0.9361425729712175,0.5168539325842697,0.9019607843137255,0.9703243616287095,0.6571428571428571
42,XGBoost — knowledge features,0.9859673337934208,0.8892154693837893,0.013254129315882553,0.024961715680896304,0.9833333333333333,0.953537936913896,0.6911764705882353,0.9215686274509803,0.9855072463768116,0.7899159663865546
42,XGBoost — knowledge + Platt calibration,0.9859673337934208,0.8892154693837893,0.006401108164698525,0.004273653367392769,0.9913333333333333,0.9293021556448666,0.88,0.8627450980392157,0.9958592132505176,0.8712871287128713
67,Logistic regression — raw sensors,0.9016089527598479,0.41412052867044985,0.12217530040156044,0.22887463528064578,0.8213333333333334,0.7940161571875126,0.13220338983050847,0.7647058823529411,0.8233264320220842,0.2254335260115607
67,XGBoost — raw sensors,0.9690117592930892,0.772112103284049,0.027292660698370195,0.038958339716113795,0.962,0.8857427028782527,0.4659090909090909,0.803921568627451,0.9675638371290545,0.5899280575539568
67,XGBoost — knowledge features,0.9708656409423673,0.8677176549203829,0.015470375209275914,0.02084528177367368,0.98,0.9139771850769294,0.6615384615384615,0.8431372549019608,0.9848171152518979,0.7413793103448276
67,XGBoost — knowledge + Platt calibration,0.9708656409423673,0.8677176549203829,0.009156159889676356,0.007981862470145186,0.9873333333333333,0.8610197702269313,0.8809523809523809,0.7254901960784313,0.9965493443754313,0.7956989247311828
101,Logistic regression — raw sensors,0.902975683026834,0.4026656653938798,0.12451154825711336,0.23941574033305585,0.8246666666666667,0.8335769090244793,0.14429530201342283,0.8431372549019608,0.8240165631469979,0.24641833810888253
101,XGBoost — raw sensors,0.9836263007618506,0.786114643410242,0.026969717941114843,0.039916838046745395,0.9626666666666667,0.9050054804530507,0.4725274725274725,0.8431372549019608,0.9668737060041408,0.6056338028169014
101,XGBoost — knowledge features,0.9877264915628087,0.8776286717275962,0.015956936393173842,0.02346862802062727,0.9786666666666667,0.9227459099581862,0.6376811594202898,0.8627450980392157,0.9827467218771566,0.7333333333333333
101,XGBoost — knowledge + Platt calibration,0.9877264915628087,0.8776286717275962,0.00987160799824941,0.005571332470578848,0.988,0.9181179718264117,0.8113207547169812,0.8431372549019608,0.9930986887508627,0.8269230769230769
