seed,policy,automation_coverage,deferral_rate,selective_accuracy,selective_risk,system_accuracy_assuming_correct_review,automatic_failure_recall,reference_errors_deferred,mean_decision_cost
11,Calibrated XGBoost — no defer,1.0,0.0,0.992,0.008,0.992,0.8627450980392157,0.0,0.09666666666666666
11,Proposed Mondrian conformal defer,0.892,0.108,0.9955156950672646,0.004484304932735426,0.996,0.8627450980392157,0.5,0.07066666666666667
23,Calibrated XGBoost — no defer,1.0,0.0,0.988,0.012,0.988,0.803921568627451,0.0,0.13866666666666666
23,Proposed Mondrian conformal defer,0.868,0.132,0.9930875576036866,0.0069124423963133645,0.994,0.803921568627451,0.5,0.08466666666666667
42,Calibrated XGBoost — no defer,1.0,0.0,0.9913333333333333,0.008666666666666666,0.9913333333333333,0.8627450980392157,0.0,0.09733333333333333
42,Proposed Mondrian conformal defer,0.896,0.104,0.9940476190476191,0.005952380952380952,0.9946666666666667,0.8627450980392157,0.38461538461538464,0.08266666666666667
67,Calibrated XGBoost — no defer,1.0,0.0,0.9873333333333333,0.012666666666666666,0.9873333333333333,0.7254901960784313,0.0,0.19
67,Proposed Mondrian conformal defer,0.896,0.104,0.9947916666666666,0.005208333333333333,0.9953333333333333,0.7254901960784313,0.631578947368421,0.082
101,Calibrated XGBoost — no defer,1.0,0.0,0.988,0.012,0.988,0.8431372549019608,0.0,0.11333333333333333
101,Proposed Mondrian conformal defer,0.9206666666666666,0.07933333333333334,0.9905865314989138,0.00941346850108617,0.9913333333333333,0.8431372549019608,0.2777777777777778,0.08633333333333333
