seed,split,rows,failures,failure_rate
11,train,5500,186,0.03381818181818182
11,probability_calibration,1500,51,0.034
11,conformal_calibration,1500,51,0.034
11,test,1500,51,0.034
23,train,5500,186,0.03381818181818182
23,probability_calibration,1500,51,0.034
23,conformal_calibration,1500,51,0.034
23,test,1500,51,0.034
42,train,5500,186,0.03381818181818182
42,probability_calibration,1500,51,0.034
42,conformal_calibration,1500,51,0.034
42,test,1500,51,0.034
67,train,5500,186,0.03381818181818182
67,probability_calibration,1500,51,0.034
67,conformal_calibration,1500,51,0.034
67,test,1500,51,0.034
101,train,5500,186,0.03381818181818182
101,probability_calibration,1500,51,0.034
101,conformal_calibration,1500,51,0.034
101,test,1500,51,0.034
